0,0,18,0,0
1,1,50,1,1
2,0,18,2,2
3,0,18,0,3
4,1,25,1,4
5,0,35,3,5
6,0,0,4,6
7,0,35,4,7
8,0,25,5,8
9,0,50,6,9
10,1,35,1,10
11,1,25,1,11
12,0,45,7,12
13,0,45,8,13
14,1,45,7,14
15,0,18,9,15
16,0,25,10,16
17,1,35,1,17
18,0,35,11,18
19,1,35,12,19
20,0,25,2,20
21,0,25,2,21
22,1,25,13,22
23,1,18,13,23
24,0,35,14,24
25,0,45,14,25
26,1,35,11,26
27,0,25,2,27
28,0,35,10,1
29,0,1,5,28
30,0,18,13,29
31,1,25,5,30
32,0,18,5,31
33,1,35,4,32
34,1,18,12,33
35,1,18,5,34
36,0,18,5,35
37,1,25,1,36
38,0,35,9,37
39,0,35,8,38
40,0,25,14,39
41,0,25,4,40
42,1,25,11,41
43,0,25,0,42
44,0,25,10,43
45,1,25,15,44
46,0,50,15,45
47,0,45,4,46
48,1,18,5,47
49,0,18,2,48
50,0,25,7,49
51,1,18,5,35
52,0,25,10,50
53,0,18,3,51
54,0,35,10,52
55,0,25,11,42
56,0,1,16,53
57,0,25,10,54
58,0,45,7,55
59,0,50,17,56
60,0,35,14,57
61,1,25,4,58
62,0,25,15,59
63,0,25,7,60
64,1,50,7,61
65,0,18,5,62
66,0,1,5,63
67,0,18,5,64
68,0,18,14,65
69,0,25,14,66
70,0,35,8,67
71,1,45,4,68
72,0,18,5,69
73,0,35,8,70
74,0,18,9,71
75,0,18,5,72
76,0,25,0,73
77,0,25,4,74
78,1,35,4,75
79,1,25,4,76
80,0,18,5,77
81,0,50,10,78
82,0,35,1,79
83,0,25,3,27
84,0,50,7,80
85,0,25,4,81
86,0,45,4,82
87,1,45,11,83
88,1,35,4,84
89,0,0,7,85
90,0,0,15,86
91,0,25,9,39
92,0,45,3,87
93,0,25,5,88
94,0,25,4,89
95,1,25,13,90
96,0,35,13,91
97,1,45,3,92
98,0,18,5,93
99,0,35,3,94
100,0,1,5,95
101,0,35,10,96
102,0,25,5,97
103,0,25,5,97
104,0,18,14,1
105,0,0,18,98
106,0,35,8,99
107,0,35,7,100
108,0,25,1,101
109,0,18,5,102
110,0,0,14,103
111,0,25,19,104
112,0,45,3,105
113,0,25,10,106
114,0,25,14,107
115,0,35,17,108
116,0,18,5,109
117,0,18,4,110
118,0,25,10,111
119,1,45,1,112
120,0,50,11,113
121,1,25,2,114
122,1,45,13,115
123,0,25,5,116
124,0,25,6,117
125,1,25,6,118
126,0,25,16,119
127,1,18,15,120
128,1,35,15,121
129,0,18,16,122
130,1,0,4,123
131,0,18,1,124
132,0,50,14,125
133,0,25,10,126
134,0,18,5,127
135,0,50,1,128
136,0,50,7,129
137,0,45,20,130
